AgendaTemplatename,KPICVC,KPIname,KPImeasure
iBVF aligned template for Oil & Gas,Admin,# of employees,TBD
iBVF aligned template for Oil & Gas,Admin,# of automated processes,TBD
iBVF aligned template for Rail,Operations,Avg. train speed (miles/ hr),TBD
iBVF aligned template for Rail,Operations,Revenue ton miles,TBD
iBVF aligned template for Rail,Operations,Personal injury rate,TBD
iBVF aligned template for Rail,Operations,Asset utilization,TBD
iBVF aligned template for Rail,Operations,Avg. terminal dwell time,TBD
iBVF aligned template for Rail,Marketing & Sales,Revenue carloads,TBD
iBVF aligned template for Rail,Marketing & Sales,New accounts,TBD
iBVF aligned template for Rail,Marketing & Sales,Contract renewals,TBD
iBVF aligned template for Rail,Marketing & Sales,New solutions,TBD
iBVF aligned template for Rail,Marketing & Sales,Train length,TBD
iBVF aligned template for Rail,Marketing & Sales,First/ last mile customer satisfaction,TBD
iBVF aligned template for Rail,Maintenance & Engineering,Train velocity,TBD
iBVF aligned template for Rail,Maintenance & Engineering,Cars online,TBD
iBVF aligned template for Rail,Maintenance & Engineering,Rail equipment safety,TBD
iBVF aligned template for Rail,Maintenance & Engineering,Locomotive efficiency,TBD
iBVF aligned template for Rail,Maintenance & Engineering,Rail crossing accidents,TBD
iBVF aligned template for Rail,Customer Service,Service Disruptions,TBD
iBVF aligned template for Rail,Customer Service,Service improvement,TBD
iBVF aligned template for Rail,Customer Service,Outages,TBD
iBVF aligned template for Rail,Customer Service,Problem resolution,TBD
iBVF aligned template for Rail,Customer Service,Repeat business,TBD
iBVF aligned template for Rail,Customer Service,SLAs,TBD
iBVF aligned template for Rail,Admin,% outsourced,TBD
iBVF aligned template for Rail,Admin,IT utilization,TBD
iBVF aligned template for Rail,Admin,Disputed invoices,TBD
iBVF aligned template for Rail,Admin,% claims handled,TBD
iBVF aligned template for Rail,Admin,# automated processes,TBD
iBVF aligned template for Rail,Admin,Training spend,TBD
iBVF aligned template for Rail,Admin,Contract Mgmt,TBD
iBVF aligned template for Retail,Merchandising,New product success rate,TBD
iBVF aligned template for Retail,Merchandising,Time to market,TBD
iBVF aligned template for Retail,Merchandising,Forecast accuracy,TBD
iBVF aligned template for Retail,Merchandising,"Assortment/ category productivity (sales, margin)",TBD
iBVF aligned template for Retail,Merchandising,Stockout losses,TBD
iBVF aligned template for Retail,Marketing,Productivity (GMROI) by marketing channel,TBD
iBVF aligned template for Retail,Marketing,New customer acquisition rates ,TBD
iBVF aligned template for Retail,Marketing,Activity response rate,TBD
iBVF aligned template for Retail,Marketing,Increase in average basket value,TBD
iBVF aligned template for Retail,Alternative Channels,Sales/Margin,TBD
iBVF aligned template for Retail,Alternative Channels,Conversion rates,TBD
iBVF aligned template for Retail,Alternative Channels,Time-on-site,TBD
iBVF aligned template for Retail,Alternative Channels,Page-views,TBD
iBVF aligned template for Retail,Alternative Channels,Site performance/ response,TBD
iBVF aligned template for Retail,Alternative Channels,Number of site hits during promotion,TBD
iBVF aligned template for Retail,Store Operations ,Customer interactions/,TBD
iBVF aligned template for Retail,Store Operations ,    hour,TBD
iBVF aligned template for Retail,Store Operations ,Checkout time,TBD
iBVF aligned template for Retail,Store Operations ,Stockout losses,TBD
iBVF aligned template for Retail,Store Operations ,Time to stock/replenish shelves,TBD
iBVF aligned template for Retail,Store Operations ,Competitor price comparison,TBD
iBVF aligned template for Retail,Distribution & Logistics,Warehouse handling damage rate ,TBD
iBVF aligned template for Retail,Distribution & Logistics,Direct dispatch ratio,TBD
iBVF aligned template for Retail,Distribution & Logistics,Order freight charge,TBD
iBVF aligned template for Retail,Distribution & Logistics,Customer delivery return rate,TBD
iBVF aligned template for Retail,Distribution & Logistics,Item count deviation rate,TBD
iBVF aligned template for Retail,Customer Experience,% of customer requests met,TBD
iBVF aligned template for Retail,Customer Experience,% of products purchased at full retail margin,TBD
iBVF aligned template for Retail,Customer Experience,Share of sales generated from up-selling,TBD
BVF aligned template for Utilities,Generation,Material cost,TBD
BVF aligned template for Utilities,Generation,% of rejected material,TBD
BVF aligned template for Utilities,Generation,Supplier management,TBD
BVF aligned template for Utilities,Generation,Critical item,TBD
BVF aligned template for Utilities,Generation,Spares,TBD
BVF aligned template for Utilities,Generation,Procurement cycle,TBD
BVF aligned template for Utilities,Generation,Peer-to-peer energy transfer ,TBD
BVF aligned template for Utilities,Generation,Material forecasting and accuracy,TBD
BVF aligned template for Utilities,Generation,Delivery timeliness,TBD
BVF aligned template for Utilities,Generation,Rebuild & fabrication cost,TBD
BVF aligned template for Utilities,Transmission,Generation mix ,TBD
BVF aligned template for Utilities,Transmission,Unit Sales,TBD
BVF aligned template for Utilities,Transmission,Capacity utilization,TBD
BVF aligned template for Utilities,Transmission,SAIDI index,TBD
BVF aligned template for Utilities,Transmission,Mean time between failure to repair,TBD
BVF aligned template for Utilities,Transmission,Downtime & outages,TBD
BVF aligned template for Utilities,Transmission,Service levels,TBD
BVF aligned template for Utilities,Transmission,Dispatch effectiveness,TBD
BVF aligned template for Utilities,Transmission,Fault rate,TBD
BVF aligned template for Utilities,Transmission,Service call period,TBD
BVF aligned template for Utilities,Transmission,Restoration interval,TBD
BVF aligned template for Utilities,Transmission,Work tracking,TBD
BVF aligned template for Utilities,Transmission,Repair time,TBD
BVF aligned template for Utilities,Transmission,Rework,TBD
BVF aligned template for Utilities,Transmission,Downtime,TBD
BVF aligned template for Utilities,Transmission,Emergency and overtime tracking,TBD
BVF aligned template for Utilities,Distribution,Job tracking,TBD
BVF aligned template for Utilities,Distribution,Compliance to contracts,TBD
BVF aligned template for Utilities,Distribution,Rework,TBD
BVF aligned template for Utilities,Distribution,# of disputes,TBD
BVF aligned template for Utilities,Distribution,# of contractors,TBD
BVF aligned template for Utilities,Distribution,Work backlog,TBD
BVF aligned template for Utilities,Distribution,Payables,TBD
BVF aligned template for Utilities,Distribution,Regulatory compliance,TBD
BVF aligned template for Utilities,Distribution,Long term trades,TBD
BVF aligned template for Utilities,Distribution,Short term trades,TBD
BVF aligned template for Utilities,Retail,Receivables,TBD
BVF aligned template for Utilities,Retail,Service quality,TBD
BVF aligned template for Utilities,Retail,Product/ service mix,TBD
BVF aligned template for Utilities,Retail,Marketing effectiveness,TBD
BVF aligned template for Utilities,Retail,Pricing effectiveness,TBD
BVF aligned template for Utilities,Retail,Channel revenue,TBD
BVF aligned template for Utilities,Retail,Business exceptions,TBD
BVF aligned template for Utilities,Retail,NPS,TBD
BVF aligned template for Utilities,Retail,# Personalized propositions,TBD
BVF aligned template for Utilities,Retail,# Localized grids ,TBD
BVF aligned template for Utilities,Retail,Omni-channel support,TBD
BVF aligned template for Utilities,Retail,# customer call,TBD
BVF aligned template for Utilities,Retail,Retention rate,TBD
BVF aligned template for Utilities,Retail,Fault rates,TBD
BVF aligned template for Utilities,Retail,# Vendor switch,TBD
BVF aligned template for Utilities,Retail,Wait time,TBD
BVF aligned template for Utilities,Administration,% outsourced,TBD
BVF aligned template for Utilities,Administration,IT utilization,TBD
BVF aligned template for Utilities,Administration,Implementation on time & budget,TBD
BVF aligned template for Utilities,Administration,# employees,TBD
